NAVIA LOGISTICS PTY LTD,,,,AUMEL,KRPUS,KRPUS,,,0,KG,0,M3,HDMU4628255,H2921124,CY/CY,45G0,0,PKG,CFR,,
CH ROBINSON WORLDWIDE (AU) PTY LTD,,,BNEA41612843,AUBNE,IDJKT,IDJKT,,,216,KG,0,M3,,,,,1,PKG,CFR,,
CH ROBINSON WORLDWIDE (AU) PTY LTD,,,,AUBNE,SADMM,SADMM,,,185,KG,0,M3,,,,,1,PKG,FOB,,
AK UNICARGO INTERNATIONAL PTY LTD,,ALPHA GLS,A605117,AUBNE,KRICN,KRICN,,,410,KG,8.2,M3,,,,,5,PLT,FOB,,ALPHA GLS
CH ROBINSON WORLDWIDE (AU) PTY LTD,,,BNEA41612413,AUBNE,NLAMS,NLAMS,,,252,KG,0,M3,,,,,1,PKG,FOB,,
CH ROBINSON WORLDWIDE (AU) PTY LTD,,,BNEA41612503,AUBNE,MYKUL,MYKUL,,,0,KG,0,M3,,,,,12,PKG,FOB,,
CH ROBINSON WORLDWIDE (AU) PTY LTD,,,BNEA41612556,AUBNE,MYKUL,MYKUL,,,0,KG,0,M3,,,,,21,PKG,FOB,,
CH ROBINSON WORLDWIDE (AU) PTY LTD,,"WEIDA FREIGHT SYSTEM (HONGKONG) CO., LTD.",BNEA41612592,AUBNE,HKHKG,HKHKG,,,113,KG,0,M3,,,,,13,PKG,FOB,,"WEIDA FREIGHT SYSTEM (HONGKONG) CO., LTD."
CH ROBINSON WORLDWIDE (AU) PTY LTD,,GP LOGISTICS LOS ANGELES,BNEA41612687,AUBNE,USDFW,USDFW,,,274,KG,0,M3,,,,,30,PKG,FOB,,GP LOGISTICS LOS ANGELES
CH ROBINSON WORLDWIDE (AU) PTY LTD,,,BNEA41700756,AUBNE,ZAJNB,ZAJNB,,,0,KG,0,M3,,,,,1,PKG,FOB,,
NAVIA LOGISTICS PTY LTD,,"WEIDA FREIGHT SYSTEM (HONGKONG) CO., LTD.",NAVSYD349671,AUSYD,HKHKG,HKHKG,,,2700,KG,1.365,M3,,,,,2,PKG,FOB,,"WEIDA FREIGHT SYSTEM (HONGKONG) CO., LTD."
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI","@WEIGH (PTY) LTD,",CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160404614A,CNSHA,AUMEL,AUMEL,@WEIGH,"STC. WEIGHING SCALE      
PLATFORM SCALE",494,KG,2.35,M3,CAIU8416758,EDZ5970,CFS/CFS,42G1,32,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI","@WEIGH (PTY) LTD,",CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160404614A,CNSHA,AUMEL,AUMEL,@WEIGH,"STC. WEIGHING SCALE      
PLATFORM SCALE",494,KG,2.35,M3,OOLU8137764,EDZ5993,CFS/CFS,42G1,32,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
OCEANBRIDGE SHIPPING LTD.,1 ABOVE PTY LTD,NAVIA LOGISTICS PTY LTD,S00582438,NZAKL,AUMEL,AUMEL,"1 ABOVE
MELBOURNE","STC. 5 PALLETS STC VITAMIN ENRICHED WATER
38 CARTONS STC EFFERVESCENT TABLETS",4130,KG,8.445,M3,SUDU6928259,NZMPI00810880,CFS/CFS,45G0,43,PCE,DDP,,NAVIA LOGISTICS PTY LTD
,100% BOTTLING COMPANY,I.H HUNTER PTY LTD,,ITBLQ,AUMEL,AUMEL,,,62,KG,0.498,M3,,,,,1,PKG,CFR,DIRECT COURIERS,I.H HUNTER PTY LTD
,100% BOTTLING COMPANY,I.H HUNTER PTY LTD,NG16110163A,CNPVG,AUSYD,AUSYD,,,2024,KG,21.24,M3,,,,,12,PKG,CFR,,I.H HUNTER PTY LTD
,100% BOTTLING COMPANY,I.H HUNTER PTY LTD,NG16110163B,CNPVG,AUSYD,AUSYD,,,1740,KG,17.8,M3,,,,,10,PKG,CFR,,I.H HUNTER PTY LTD
,100% BOTTLING COMPANY,I.H HUNTER PTY LTD,NG16110163C,CNPVG,AUSYD,AUSYD,,,2130,KG,21.666,M3,,,,,12,PKG,CFR,,I.H HUNTER PTY LTD
,100% BOTTLING COMPANY,I.H HUNTER PTY LTD,NG16110171A,CNPVG,AUSYD,AUSYD,,,2098,KG,21.31,M3,,,,,12,BOX,CFR,,I.H HUNTER PTY LTD
,100% BOTTLING COMPANY,I.H HUNTER PTY LTD,NG16110171B,CNPVG,AUSYD,AUSYD,,,2116,KG,21.46,M3,,,,,12,PKG,CFR,,I.H HUNTER PTY LTD
,100% BOTTLING COMPANY,I.H HUNTER PTY LTD,NG16110171C,CNPVG,AUSYD,AUSYD,,,2270,KG,23.66,M3,,,,,13,PKG,CFR,,I.H HUNTER PTY LTD
,100% BOTTLING COMPANY,I.H HUNTER PTY LTD,NG16110171D,CNSHA,AUSYD,AUSYD,,,1782,KG,17.676,M3,,,,,10,PKG,CFR,,I.H HUNTER PTY LTD
,100% BOTTLING COMPANY,I.H HUNTER PTY LTD,NG16120027,CNFOC,AUSYD,AUSYD,,,4242,KG,42.996,M3,,,,,24,PKG,CFR,,I.H HUNTER PTY LTD
,100% BOTTLING COMPANY,I.H HUNTER PTY LTD,NG16120039,CNFOC,AUSYD,AUSYD,,,3890,KG,38.185,M3,,,,,22,PKG,CFR,,I.H HUNTER PTY LTD
,100% BOTTLING COMPANY,I.H HUNTER PTY LTD,NG16120046,CNFOC,AUSYD,AUSYD,,,4558,KG,48.984,M3,,,,,28,PKG,CFR,,I.H HUNTER PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",168 EXPRESS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,AMIGL160433667A,CNXMN,AUSYD,AUSYD,SY,"STC. PRINTER       

THERMAL PAPER
SCANNER
EXPRESSAGE
TRANSFER PAPER",966.15,KG,2,M3,CGMU5047908,F3043832,CFS/CFS,45R1,2,PLT,DDU,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
OCEANBRIDGE SHIPPING LTD.,1ABOVE PTY LIMITED,NAVIA LOGISTICS PTY LTD,S00582440,NZAKL,AUSYD,AUSYD,1ABOVE,STC. VITAMIN ENRICHED WATER (519 CASES),6030,KG,11.827,M3,SUDU1863216,H4041423,CFS/CFS,22G0,151,PKG,DDP,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,1ABOVE PTY LIMITED,NAVIA LOGISTICS PTY LTD,S00582440,NZAKL,AUSYD,AUSYD,1ABOVE,STC. VITAMIN ENRICHED WATER (519 CASES),6030,KG,11.827,M3,SUDU5958773,H4041427,CFS/CFS,45G0,151,PKG,DDP,,NAVIA LOGISTICS PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",21 LOGISTICS PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,KPMEL00397,CNSHK,AUMEL,AUMEL,"DESCRIPTION
LED LIGHTNING WITH
PMMA DIFFUSER
QTY DETAILS
CARTON NO.:
MADE IN CHINA","STC. ALUMINIUM PROFILE               
PLASTIC COVER
ALUMINIUM END CAPS
CLIP METAL",712,KG,1.934,M3,TEMU6011409,CA369423,CFS/CFS,42G1,1,CAS,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",21 LOGISTICS PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,KPMEL00397,CNSHK,AUMEL,AUMEL,"DESCRIPTION
LED LIGHTNING WITH
PMMA DIFFUSER
QTY DETAILS
CARTON NO.:
MADE IN CHINA","STC. ALUMINIUM PROFILE               
PLASTIC COVER
ALUMINIUM END CAPS
CLIP METAL",712,KG,1.934,M3,TEMU9305705,CA924054,CFS/CFS,42G1,1,CAS,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",21 LOGISTICS PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,KPMEL00397,CNSHK,AUMEL,AUMEL,"DESCRIPTION
LED LIGHTNING WITH
PMMA DIFFUSER
QTY DETAILS
CARTON NO.:
MADE IN CHINA","STC. ALUMINIUM PROFILE               
PLASTIC COVER
ALUMINIUM END CAPS
CLIP METAL",712,KG,1.934,M3,TEMU9306424,CA924210,CFS/CFS,42G1,1,CAS,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",21 LOGISTICS PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,KPMEL00401,CNSHK,AUMEL,AUMEL,"DESCRIPTION
LED LIGHTING WITH
PMMA DIFFUSER
QTY DETAILS
CARTON NO.:
MADE IN CHINA","STC. ALUMINUM PROFILE                   
PLASTIC COVER
ALUMINUM END CAPS",518,KG,1.788,M3,CBHU4459216,CB233531,CFS/CFS,22G0,1,CAS,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",21 LOGISTICS PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,KPMEL00401,CNSHK,AUMEL,AUMEL,"DESCRIPTION
LED LIGHTING WITH
PMMA DIFFUSER
QTY DETAILS
CARTON NO.:
MADE IN CHINA","STC. ALUMINUM PROFILE                   
PLASTIC COVER
ALUMINUM END CAPS",518,KG,1.788,M3,CSLU1693999,CB233513,CFS/CFS,22G0,1,CAS,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",21 LOGISTICS PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,KPMEL00401,CNSHK,AUMEL,AUMEL,"DESCRIPTION
LED LIGHTING WITH
PMMA DIFFUSER
QTY DETAILS
CARTON NO.:
MADE IN CHINA","STC. ALUMINUM PROFILE                   
PLASTIC COVER
ALUMINUM END CAPS",518,KG,1.788,M3,FSCU8812484,CB238379,CFS/CFS,42G1,1,CAS,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,3072 PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,DMEL612004703,HKHKG,AUMEL,AUMEL,"NO.1/19
3072 PTY LTD",,185,KG,1.51,M3,PCIU6006520,T0988973,CFS/CFS,45R1,19,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,3072 PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,DMEL612004703,HKHKG,AUMEL,AUMEL,"NO.1/19
3072 PTY LTD",,185,KG,1.51,M3,TEMU9089925,T0988971,CFS/CFS,45R1,19,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
NAVIA LOGISTICS PTY LTD,360 LOGISTICS GROUP LIMITED,OCEANBRIDGE SHIPPING LTD,NAVCAM345463,AUBNE,NZLYT,NZNSN,"
ALTAIR FISHING LTD
FISHINT01
FISHINT02
FISHINT03
FISHINT04

H27313","1 PALLET GLOLEAD ROYAL BLUE 50 BOXES
1 PALLET GLOLEAD LUMINOUS GREEN 50 BOXES
1 PALLET GREEN CHEMILUMINESCENT LIGHT STICKS 25 BOXES
1 PALLET BLUE CHEMILUMINESCENT LIGHT STICKS 25 BOXES

""ALL DESTINATION CHARGES ARE FOR THE ACCOUNT OF THE CONSIGNEE""",2198,KG,6.205,M3,PCIU8598537,W0208448,,45G0,4,PLT,CFR,,OCEANBRIDGE SHIPPING LTD
NAVIA LOGISTICS PTY LTD,360 LOGISTICS GROUP LIMITED,OCEANBRIDGE SHIPPING LTD,NAVCAM343225,AUMEL,NZLYT,NZLYT,"
AS ADDRESSED
REF: W-51647","STC SAFE SURROUND BED

�FREIGHT AND ALL DESTINATION CHARGES ARE FOR THE CONSIGNEE�S ACCOUNT�",270,KG,3.16,M3,MSCU9566612,CSL1430,CFS/CFS,45G0,1,PKG,FOB,,OCEANBRIDGE SHIPPING LTD
GP LOGISTICS LOS ANGELES,3D SPACE LABS PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,CHIBNE246844,USLGB,AUBNE,AUBNE,N/M,,591.938,KG,7.8,M3,PCIU8579970,105846,CFS/CFS,45G0,1,CRT,EXW,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",3S GLOBAL CONNECT PTY LTD,CONSOL ALLIANCE  AUSTRALIA PTY LTD,SNLGL1611062,CNWUC,AUSYD,AUSYD,WMX/2044,,150,KG,0.85,M3,FSCU9315184,CB021152,CFS/CFS,42G1,11,CTN,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
,5150 NUTRITION,NAVIA LOGISTICS PTY LTD,SML16110073,CNNGB,AUSYD,AUSYD,AUS,,2094.6,KG,25.94,M3,MOAU6735388,MOL950717K,CY/CY,22G0,251,CTN,FOB,,NAVIA LOGISTICS PTY LTD
PENANSHIN SHIPPING PTE LTD,54 4X4 ACCESORIES,CONSOL ALLIANCE AUSTRALIA PTY LTD,BTLBSB16110182,SGSIN,AUBNE,AUBNE,NICK MCCOSKER,"STC. DOUBLE SHACKLE            
DIFF DROP
TAILGATE STRUT
LED TAIL LIGHTS
SKID BASH PLATE
FRONT GRILL
BALL JOINT FOR CONTROL ARM
CONTROL ARM
INTERCOOLER KIT",375.45,KG,1.358,M3,TCNU4604149,YMLL817245,CFS/CFS,42G1,24,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
PENANSHIN SHIPPING PTE LTD,54 4X4 ACCESORIES,CONSOL ALLIANCE AUSTRALIA PTY LTD,BTLBSB16110182,SGSIN,AUBNE,AUBNE,NICK MCCOSKER,"STC. DOUBLE SHACKLE            
DIFF DROP
TAILGATE STRUT
LED TAIL LIGHTS
SKID BASH PLATE
FRONT GRILL
BALL JOINT FOR CONTROL ARM
CONTROL ARM
INTERCOOLER KIT",375.45,KG,1.358,M3,TCNU4607087,YMLL817559,CFS/CFS,42G1,24,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",808 DESIGN GLASS,CONSOL ALLIANCE AUSTRALIA PTY LTD,SZS16110067,CNSHK,AUMEL,AUMEL,"808 DESIGN GLASS
+KINLONG","STC. HARDWARE FITTINGS       
4PACKAGES=3WOODEN CASES+1CTN",1707,KG,2.876,M3,DFSU2976401,CB241949,CFS/CFS,22G0,4,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",808 DESIGN GLASS,CONSOL ALLIANCE AUSTRALIA PTY LTD,SZS16110067,CNSHK,AUMEL,AUMEL,"808 DESIGN GLASS
+KINLONG","STC. HARDWARE FITTINGS       
4PACKAGES=3WOODEN CASES+1CTN",1707,KG,2.876,M3,TEMU2927076,CB227509,CFS/CFS,22G0,4,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",808 DESIGN GLASS,CONSOL ALLIANCE AUSTRALIA PTY LTD,SZS16110067,CNSHK,AUMEL,AUMEL,"808 DESIGN GLASS
+KINLONG","STC. HARDWARE FITTINGS       
4PACKAGES=3WOODEN CASES+1CTN",1707,KG,2.876,M3,CXRU1631182,CA706766,CFS/CFS,42G1,4,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,888 FREIGHT. NET PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,MEL611044210,HKHKG,AUMEL,AUMEL,A.SCHULMAN,"STC. MINBLOC HC 1400         
(2PLTS=100BAGS)",2070,KG,3.53,M3,PCIU6003820,T0989334,CFS/CFS,45R1,2,PLT,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,888 FREIGHT. NET PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,MEL611044210,HKHKG,AUMEL,AUMEL,A.SCHULMAN,"STC. MINBLOC HC 1400         
(2PLTS=100BAGS)",2070,KG,3.53,M3,TTNU8202855,T0989337,CFS/CFS,45R1,2,PLT,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
DAVIES TURNER AIR CARGO LIMITED,A ALGEO PTY (AUSTRALIA) PTY,CONSOL ALLIANCE AUSTRALIA PTY LTD,RM1030835,GBLHR,AUMEL,AUMEL,,,378,KG,2.535,M3,,,,,1,PKG,DAP,CITO TRANSPORT PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD
DAVIES TURNER AIR CARGO LIMITED,A ALGEO PTY (AUSTRALIA) PTY,NAVIA LOGISTICS PTY LTD,RM1031676,GBLGW,AUMEL,AUMEL,,,859,KG,6.468,M3,,,,,3,PKG,DAP,CITO TRANSPORT PTY LTD,NAVIA LOGISTICS PTY LTD
DAVIES TURNER AIR CARGO LIMITED,A ALGEO PTY (AUSTRALIA) PTY,NAVIA LOGISTICS PTY LTD,RM1032419,GBLHR,AUMEL,AUMEL,,,56,KG,0,M3,,,,,1,PKG,DAP,CITO TRANSPORT PTY LTD,NAVIA LOGISTICS PTY LTD
GP LOGISTICS,A HARTRODT AUSTRALIA,CONSOL ALLIANCE  AUSTRALIA PTY LTD,SYDA248558,USORD,AUSYD,AUSYD,S00296401,,89,KG,4.083,CF,,5,,,1,PCE,FOB,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
GP LOGISTICS,A HARTRODT AUSTRALIA,CONSOL ALLIANCE  AUSTRALIA PTY LTD,SYDA248558,USORD,AUSYD,AUSYD,S00296401,,89,KG,4.083,CF,PMC42845QF,2Q,,,1,PCE,FOB,BONDS EXPRESS COURIERS,CONSOL ALLIANCE  AUSTRALIA PTY LTD
GP LOGISTICS,A HARTRODT AUSTRALIA,CONSOL ALLIANCE  AUSTRALIA PTY LTD,SYDA248558,USORD,AUSYD,AUSYD,S00296401,,89,KG,4.083,CF,PMC42960QF,5,,,1,PCE,FOB,BONDS EXPRESS COURIERS,CONSOL ALLIANCE  AUSTRALIA PTY LTD
GP LOGISTICS,A HARTRODT AUSTRALIA PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,BNEA247904,USORD,AUBNE,AUBNE,C00195130 S00294159,,44.5,KG,40.858,CF,PAG53104BR,5,,,1,SKD,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
GP LOGISTICS,A HARTRODT AUSTRALIA PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,BNEA247904,USORD,AUBNE,AUBNE,C00195130 S00294159,,44.5,KG,40.858,CF,PAG54004BR,5,,,1,SKD,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
GP LOGISTICS,A HARTRODT AUSTRALIA PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,BNEA247904,USORD,AUBNE,AUBNE,C00195130 S00294159,,44.5,KG,40.858,CF,PAG56680BR,5,,,1,SKD,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
GREEN FREIGHT AKL,A HARTRODT AUSTRALIA PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,C00195013,NZAKL,AUBNE,AUBNE,,,40,KG,0.426,M3,,,,,1,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
GP LOGISTICS,A HARTRODT AUSTRALIA PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,BNEA248559,USORD,AUBNE,AUBNE,C00196564 S00296274,,128,KG,40,CF,,,,,1,SKD,CPT,,CONSOL ALLIANCE AUSTRALIA PTY LTD
GP LOGISTICS,A HARTRODT AUSTRALIA PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,BNEA248248,USORD,AUBNE,AUBNE,C00195678 S00294960,,112,KG,51.517,CF,PAG52356BR,5,,,4,PKG,FOB,,CONSOL ALLIANCE AUSTRALIA PTY LTD
